slug,name,enforces,prefixes,source,source_url,page
ealing,Ealing,bus lanes and moving traffic restrictions,EA; AO,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/ealing
east-sussex-county-council-eastbourne,East Sussex County Council (Eastbourne),bus lanes,EU,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/east-sussex-county-council-eastbourne
east-sussex-county-council-hastings,East Sussex County Council (Hastings),bus lanes,ZH,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/east-sussex-county-council-hastings
east-sussex-county-council-lewes,East Sussex County Council (Lewes),bus lanes,LW,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/east-sussex-county-council-lewes
enfield,Enfield,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/enfield
essex-county-council,Essex County Council,bus lanes,ES,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/essex-county-council
gateshead-council,Gateshead Council,bus lanes,GH,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/gateshead-council
gloucestershire-county-council,Gloucestershire County Council,bus lanes and moving traffic restrictions,GD,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/gloucestershire-county-council
greenwich,Greenwich,bus lanes and moving traffic restrictions,GR,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/greenwich
hackney,Hackney,bus lanes and moving traffic restrictions,QZ,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/hackney
hammersmith-and-fulham,Hammersmith and Fulham,bus lanes and moving traffic restrictions,HZ,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/hammersmith-and-fulham
hampshire-county-council,Hampshire County Council,bus lanes and moving traffic restrictions,PV,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/hampshire-county-council
haringey,Haringey,bus lanes and moving traffic restrictions,ZN,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/haringey
harrow,Harrow,bus lanes and moving traffic restrictions,HR,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/harrow
havering,Havering,bus lanes and moving traffic restrictions,HG,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/havering
hertfordshire-county-council,Hertfordshire County Council,bus lanes and moving traffic restrictions,JY,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/hertfordshire-county-council
hillingdon,Hillingdon,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/hillingdon
hounslow,Hounslow,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/hounslow
islington,Islington,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/islington
kensington-and-chelsea,Kensington and Chelsea,moving traffic restrictions,KE,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/kensington-and-chelsea
kent-county-council,Kent County Council,bus lanes and moving traffic restrictions,KN,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/kent-county-council
kent-county-council-with-tunbridge-wells-borough-council,Kent County Council (Tunbridge Wells),bus lanes,KU,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/kent-county-council-with-tunbridge-wells-borough-council
kingston-upon-hull-city-council,Kingston upon Hull City Council,bus lanes and moving traffic restrictions,KH,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/kingston-upon-hull-city-council
kingston-upon-thames,Kingston upon Thames,bus lanes and moving traffic restrictions,QT,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/kingston-upon-thames
kirklees-metropolitan-council,Kirklees Metropolitan Council,bus lanes,KM,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/kirklees-metropolitan-council
knowsley-metropolitan-borough-council,Knowsley Metropolitan Borough Council,moving traffic restrictions,KI,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/knowsley-metropolitan-borough-council
lambeth,Lambeth,bus lanes and moving traffic restrictions,LJ,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/lambeth
lancashire-county-council,Lancashire County Council,bus lanes and moving traffic restrictions,LQ,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/lancashire-county-council
leeds-city-council,Leeds City Council,bus lanes and moving traffic restrictions,LS,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/leeds-city-council
leicester-city-council,Leicester City Council,bus lanes and moving traffic restrictions,LE; LG,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/leicester-city-council
leicester-city-council-bus-lanes-lg,Leicester City Council (Bus Lanes - LG),bus lanes and moving traffic restrictions,LG,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/leicester-city-council-bus-lanes-lg
lewisham,Lewisham,bus lanes and moving traffic restrictions,ZY; LX,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/lewisham
liverpool-city-council,Liverpool City Council,bus lanes and moving traffic restrictions,LV,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/liverpool-city-council
luton-borough-council,Luton Borough Council,bus lanes and moving traffic restrictions,LU; QU,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/luton-borough-council
manchester-city-council,Manchester City Council,bus lanes and moving traffic restrictions,MC; ME; QM; ON,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/manchester-city-council
medway-council,Medway Council,bus lanes and moving traffic restrictions,MW,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/medway-council
merton,Merton,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/merton
metropolitan-borough-of-wirral,Metropolitan Borough of Wirral,moving traffic restrictions,WL,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/metropolitan-borough-of-wirral
middlesbrough-council,Middlesbrough Council,bus lanes,MR,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/middlesbrough-council
newcastle-city-council,Newcastle City Council,bus lanes and moving traffic restrictions,NU; LK; NA,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/newcastle-city-council
newham,Newham,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/newham
norfolk-county-council,Norfolk County Council,bus lanes and moving traffic restrictions,JX,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/norfolk-county-council
north-northamptonshire-council,North Northamptonshire Council,bus lanes and moving traffic restrictions,NO,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/north-northamptonshire-council
north-somerset-council,North Somerset Council,bus lanes,NS,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/north-somerset-council
north-tyneside-council,North Tyneside Council,bus lanes,NH,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/north-tyneside-council
north-yorkshire-council,North Yorkshire Council,moving traffic restrictions,HA; YN,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/north-yorkshire-council
northumberland-county-council,Northumberland County Council,bus lanes,NV; UN,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/northumberland-county-council
nottingham-city-council,Nottingham City Council,bus lanes and moving traffic restrictions,NG,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/nottingham-city-council
nottinghamshire-county-council,Nottinghamshire County Council,bus lanes and moving traffic restrictions,NQ,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/nottinghamshire-county-council
oldham-metropolitan-borough-council,Oldham Metropolitan Borough Council,bus lanes and moving traffic restrictions,OD,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/oldham-metropolitan-borough-council
oxfordshire-county-council,Oxfordshire County Council,bus lanes and moving traffic restrictions,OX,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/oxfordshire-county-council
peterborough-city-council,Peterborough City Council,moving traffic restrictions,PB,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/peterborough-city-council
plymouth-city-council,Plymouth City Council,bus lanes,PL,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/plymouth-city-council
