slug,name,trading_as,aliases,accreditation,appeal_service,is_debt_collector,website,complaints_policy_url,source,source_url,page,method_anpr,method_ticket_to_windscreen,method_self_ticket,method_tariff_pursuit,method_debt_recovery,method_post_debt_recovery,method_litigation
mk1-parking,MK1 Parking Ltd,,,BPA,POPLA,no,http://www.mk1parking.com,https://www.mk1parking.com/_files/ugd/df6a4d_ad6b96a1283d4be0a4dab11e6f554702.pdf,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/mk1-parking,yes,no,no,no,no,no,no
napier-parking,Napier Parking Ltd,,,IPC,IAS,no,http://www.napierparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/napier-parking,not published,not published,not published,not published,not published,not published,not published
ncp,National Car Parks Limited,,NCP Limited,BPA,POPLA,no,http://www.ncp.co.uk,http://www.ncp.co.uk/help-centre/feedback-complaints/customer-complaints-policy,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/ncp,yes,no,no,yes,no,no,no
national-parking-control-group,National Parking Control Group Ltd,National Parking Control,,IPC,IAS,no,http://www.nationalparkingcontrol.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/national-parking-control-group,not published,not published,not published,not published,not published,not published,not published
national-parking-enforcement,National Parking Enforcement Ltd,Parking Protection,,IPC,IAS,no,http://www.parkingprotection.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/national-parking-enforcement,not published,not published,not published,not published,not published,not published,not published
national-parking-management,National Parking Management Limited,Previously Northamptonshire Parking Management Limited),,IPC,IAS,no,http://www.npmservices.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/national-parking-management,not published,not published,not published,not published,not published,not published,not published
ne-parking,NE Parking Limited,,,IPC,IAS,no,http://www.ne-parking.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/ne-parking,not published,not published,not published,not published,not published,not published,not published
new-generation-parking-management,New Generation Parking Management Ltd,,,IPC,IAS,no,http://www.ngpltd.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/new-generation-parking-management,not published,not published,not published,not published,not published,not published,not published
nforce-parking-management,NForce Parking Management LTD,nForce Parking,,IPC,IAS,no,http://www.nforceparking.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/nforce-parking-management,not published,not published,not published,not published,not published,not published,not published
northwest-parking-management,Northwest Parking Management LTD,,,IPC,IAS,no,http://www.nwparkingmanagement.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/northwest-parking-management,not published,not published,not published,not published,not published,not published,not published
norwich-traffic-control,Norwich Traffic Control Ltd,,,IPC,IAS,no,http://www.norwichtrafficcontrol.com,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/norwich-traffic-control,not published,not published,not published,not published,not published,not published,not published
nsgl,NSGL Ltd,NSGL Parking,,BPA,POPLA,no,http://www.nsglparking.co.uk,http://www.nsglparking.co.uk/faq,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/nsgl,yes,yes,no,no,no,no,no
nsl,NSL Limited,NSL+,,BPA,POPLA,no,http://www.nsl.co.uk,https://www.marstonholdings.co.uk/complaints/,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/nsl,yes,no,no,no,yes,no,no
nw-car-parks,NW Car Parks Ltd,North West Car Parks,,IPC,IAS,no,http://www.nwcarparks.co.uk,,"International Parking Community, Accredited Operator Scheme",https://portal.theipc.info/aos-members,https://www.catoappeals.com/private-parking-operators/nw-car-parks,not published,not published,not published,not published,not published,not published,not published
observices-parking-consultancy,Observices Parking Consultancy Ltd,,,BPA,POPLA,no,https://www.observices.co.uk/index.htm,https://observices.co.uk/complaints-procedure.htm,"British Parking Association, Approved Operator Scheme",https://www.britishparking.co.uk/bpa-approved-operators,https://www.catoappeals.com/private-parking-operators/observices-parking-consultancy,yes,yes,no,no,no,no,no
