council,region,tribunal,year,pcns_issued,appeals_received,appeals_decided,allowed_pct,not_contested_pct,source,page
Barking and Dagenham,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,123059,774,740,51.9,27.4,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/barking-and-dagenham
Barnet,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,155225,605,488,52,18.2,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/barnet
Bexley,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,62563,277,193,44.6,29.5,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/bexley
Brent,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,167211,645,496,47.6,25.6,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/brent
Bromley,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,81907,271,197,39.6,29.9,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/bromley
Camden,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,219055,732,575,39.8,22.4,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/camden
City of London,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,69142,154,144,38.9,18.8,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/city-of-london
Croydon,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,115850,531,408,50,20.1,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/croydon
Ealing,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,155632,433,349,42.1,22.9,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/ealing
Enfield,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,71005,324,241,35.7,16.6,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/enfield
Greenwich,London,London Tribunals (Environment and Traffic Adjudicators),2024-25,102854,404,393,54.7,4.3,"London Tribunals, Environment and Traffic Adjudicators annual statistics",https://www.catoappeals.com/councils/greenwich
